Name,Review
Cory Woodroof,"Guardians of the Galaxy Vol. 3 is going to have the same effect on today’s kids that Indiana Jones and the Temple of Doom had on kids in the 80s, and I mean that as the highest compliment."
Kip Mooney,This third volume [is] a mixed bag.
Stephen Silver,"The first strong effort from Marvel in a while, as the Rocket story drives the plot, and attaches real stakes in a way these film usually don’t."
Kent Garrison,Why am I crying about a raccoon?
Rachel Ho,"Boy, does Gunn come out guns blazing."
Luis Bond,"Gunn says goodbye to Marvel Studios in style, leaving his wake in the genre and giving us a valuable personal lesson that we must never forget: we all deserve a second chance [Full Review in Spanish]"
Chris Sawin,"Tearfully moving with bonkers humor, Guardians of the Galaxy Vol. 3 gives the world’s most bad ass trash panda from space the most meaningful film in a trilogy overrun with super heroic and perfection obsessed a-holes."
Matt Donato,Guardians of the Galaxy Vol. 3 is a tailor-fitted exit for James Gunn from Marvel’s Cinematic Universe ... the Gunniest Guardians yet in the best way.
Marie Asner,"The heart of the film, though, is Rocket."
Josh Flanders,"While better than most recent Marvel or DC films, it definitely lacks the fun, buddy-film aspects and sincere relationships of the original in lieu of an exhausting mission-based story."
Sarah El-Mahmoud,"Guardians of the Galaxy Vol. 3 is another stylish, laugh-out-loud, offbeat and most of all, Awesome Mix of being something beautifully human and alien at the same time."
Matt Singer,Completes Rocket’ transformation from a footnote to one of Marvel’ greatest characters.
Ryan McQuade,Guardians of the Galaxy Vol 3 was surprisingly emotional and has some nice finality for James Gunn.
Christy Lemire,Too often it feels like James Gunn made a playlist of songs he likes and then came up with scenes to go with them.
Bruce R. Miller,"If this is the last episode of the series (could that really be true?), it’s done with great care and concern. Director James Gunn knows how to fire up the faithful. Now, he just needs to point out who they are."
Kathia Woods,The heart and soul of Guardians has always been the camaraderie of the cast.
Brian Gill,What if the real raccoons are the friends we made along the way?
Rosa Parra,“Guardians of the Galaxy Vol. 3” is the perfect conclusion to this group of superheroes who “take ass and kick names.” A heartfelt farewell to the most grounded and memorable family in film
Lynn Venhaus,",,,having this motley crew back together one more time has deepened their ties, softened their tough exteriors, and created playful exchanges that enhance what is a dense and convoluted story."
Ray Pride,"A joyous sweetheart of a movie; even better is that it plays like a movie, not a Marvel product... What’s it about? Raccoons and kindness. And gleefully bad gags. Gunn’s sheer competence soars alongside his customary monumental goofiness."
Wenlei Ma,Guardians 3 is a real warm and fuzzy movie that sometimes makes you forget that you’re a bit bored with the onslaught of superhero movies.
Dennis Schwartz,A goofy and incohesive adventure tale of an intergalactic band of artificially created misfits.
Carla Renata,Chukwudi Iwuji as The High Evolutionary commands the screen and upstages everyone on it each and every time he appears with mad scientist vibes disguised as compassion making him more than compelling to watch. Oh yeaH! That soundtrack is absolute fire!
Tony Baker,"Rocket is already my favorite Guardian, so now to see how he became who he became -- it's heartbreaking."
Abby Olcese,"If you’re looking for a way to conclude your relationship with Marvel’s most vibrant characters, this is it. Given signs of diminishing returns here, it’s also a good example of quitting while you’re ahead."
Robert Roten,"There is plenty of humor, along with a bit of romance, some cliffhangers, some pathos and a lot of action in this fast-paced story. It is a good example of why Marvel movies are so popular."
Valerie Kalfrin,"an eclectic and affectionate mixtape that’s funny, thrilling, shattering, and bittersweet."
Theolin Tembo,"Ultimately, Guardians of the Galaxy Vol. 3 is a thoroughly enjoyable film that, while it works best for those who have followed the franchise, it does also work as a film you can watch without context."
Omar Holmon,"There was always something that was funny, witty, or heart wrenching that covered for any cliché that appeared."
Beth Accomando,"I was surprised by how sad, emotional, and dark this third film was."
Kevin A. Ranson,"Gunn is committed to viewers understanding the horrors of being unmade and remade, inflicting a level of emotion and empathy few Marvel movies have achieved and earning every bit of crass humor as necessary moments to catch your breath."
Susan Granger,"Under the aegis of writer/director James Gunn, Rocket Raccoon's origin story turns out to be heavy-handed and bizarrely grotesque."
Dwight Brown,"Be forewarned, it’s a slog for the first 90 minutes of its 2h 30m length. Then real energy kicks in."
Louisa Moore,"Despite the film’s bloated length and tendency to embrace nostalgia without an ounce of moderation, it’s a fitting and heartfelt sendoff for the beloved crew of misfit mercenaries."
Mark Jackson,"Garish, with an over-prolonged animal version of Sid's creepy, mutant, cobbled-together, depressing toys from ""Toy Story,"" it's got enough animal abuse for your kids to eventually need therapy sessions. Director Gunn's gone. Somebody bring back the fun."
Matt Hudson,"It isn’t top-tier Marvel but it’s damn solid with some great gags and action throughout. Compared to recent MCU releases, however, it’s a rousing success."
Sandie Angulo Chen,"Writer-director James Gunn knows how to make this ragtag bunch work, but there's a layer of sadness that envelops the proceedings, despite the many laugh-out-loud moments."
Hanna Flint,"As swansongs go, Gunn’s farewell to the MCU is finely tuned."
Alejandro Turdo,"Guardians of the Galaxy Vol.3 is by far one the strongest entries in the post-Endgame era. A classic adventure with a lot of heart that makes the most out of its core characters, consequentially bringing the saga to a well deserved solid closure."
Ed Whitfield,"Gunn falls prey to franchise imperatives and Marvel cultural mores. More is more, leaving less and less screen time for the human story."
tt stern-enzi,James Gunn has an incredible way of balancing the mix of humor and heart... and has gotten bigger and better with that.
Cris Kennedy,"Flashy, fun and funny, it honours its main characters..."
Kevin Fox Jr.,"Guardians of the Galaxy Vol. 3 makes use of what comes before without being totally bogged down. It’s a working film product, if not a superlatively meaningful work of art."
Rich Cline,"There's a strong central plot running through this epic, but it's so cluttered that it can be tricky to keep track of it."
Joseph Garcia,"The funny – and occasionally challenging – film eschews universal stakes for emotional ones, giving us a bittersweet send-off for the ragtag heroes."
Richard Brody,"The fact that Gunn himself, as writer and director, has an unusual degree of authority, and thereby seems to be largely constraining himself, renders the narrow results all the more oppressive."
Isaac Feldberg,"Vol. 3 scales up with an excessive 150-minute runtime but commits that length to splashing Gunn’s signature brand of gooey sentimentality across the biggest, loudest, most color-mad canvas that a Disney budget can afford."
Linda Cook,I cried twice.
Steven Redgrave,"This is a fitting conclusion to Gunn's iteration of the Guardians of the Galaxy, full of heart and comedy, cementing an unknown B-team into a memorable A-team of A-holes."
Crockett Houghton,"From visually stunning images to the biggest action scenes to the comedy and the heart, the family, and the journey, Guardians of The Galaxy Vol 3 had a lot to live up to, and it's easily the best Marvel movie since End Game."
Tom Shone,"With two villains instead of one, an endless succession of rescues and more endings than The Lord of the Rings, volume three is the same bloated two-and-a-half-hour leviathan as every other Marvel movie these days."
